Year,Axles,EngineECU,EngineSoftware,EngineSize,GearboxECU,COO,VIS,ICL,Tachograph system,APS,ACC,Automatic climate control system,Clock and timer system,AHA,Engine management system,Gearbox management system,Retarder system,BMS,Brake management system enviro,SMS,FPC_3136,LAS,FPC_3139,FPC_3140,FPC_3141,CSS,AUS,BWS,FPC_3147,DriveTyreCircum,XML_Path
2,8x4,S6,DT12 17 /480 hp,12 litres,GMan,COO6,CUV1,ICL D1,SC1,APS1,Without,not valid,without,without,S6,without,without,ABS_E,1,without,,without,,,,Without,without,Without,,,C:\Users\Kstore\Documents\GitHub\scania_SOPS\classifier\stored_xml\9139493.0.sops.decrypted_20251104_184635.xml
2025,6x4,EMD1,DC13 146/500 hp,13 liters,TMS,COO10,CUV3 Basic,,without,APS2,,not valid,without,,EMD1,TMS,TMS,ABS2,,without,,,,,,Without,AUS4,,,,C:\Users\Kstore\Documents\GitHub\scania_SOPS\classifier\stored_xml\5760532.1.sops.decrypted.xml
2019,8x4*4,EMD1,DC16 117/580 hp,16 litres,TMS,COO8,CUV3 Extended,,SC1 500kbit,APS2,,4,CTR2,,EMD1,TMS,TMS,EBS7,,ELC4,,,,,,Without,AUS4,,,3282 mm,C:\Users\Kstore\Documents\GitHub\scania_SOPS\classifier\stored_xml\5534011.11.sops.decrypted.xml
2015,8x4*4,S6,DC16 18 /560 hp,16 litres,OPC5,COO7,CUV1,ICL2C,SC1,APS1,ACC1,2,CTR1,without,S6,OPC5,without,EBS5,3,ELC4,,LAS2,,,,Without,AUS2_M1,BWS1,,3282 mm,C:\Users\Kstore\Documents\GitHub\scania_SOPS\classifier\stored_xml\2090616.2.sops.decrypted.xml
2007,4x2,S6,DT12 12 /420 hp,12 litres,GMan,COO6,CUV1,ICL D1,SC1,APS1,ACC1,2,CT1,ATA1,S6,without,RETscania1,EBS5,1,ELC3,,without,,,,Without,without,Without,,3282 mm,C:\Users\Kstore\Documents\GitHub\scania_SOPS\classifier\stored_xml\9133863.0.sops.decrypted.xml
2020,6x2,EMD1,DC16 106/580 hp,16 litres,TMS,COO8,CUV3 Extended,,SC1 500kbit,APS2,,4,without,,EMD1,TMS,TMS,EBS7,,ELC4,,,,,,Without,AUS4,,,2922 mm,C:\Users\Kstore\Documents\GitHub\scania_SOPS\classifier\stored_xml\2132860.7.sops.decrypted.xml
2017,6x2,S8,DC16 102/580 hp,16 litres,TMS,COO7,CUV2,ICL2 CP,SC1,APS1,ACC1,2,CTR1,without,S8,TMS,TMS,EBS5,3,ELC4,,LAS2,,,,Without,AUS3,,,,C:\Users\Kstore\Documents\GitHub\scania_SOPS\classifier\stored_xml\2121715.0.sops.decrypted.xml
